symbol,date,open_price,high_price,low_price,close_price,volume
QQQ,2025-08-13,582.76,583.32,578.94,580.34,41209300
QQQ,2025-08-14,578.28,581.88,577.91,579.89,45425043
QQQ,2025-08-15,579.8,579.84,575.57,577.34,49480200
QQQ,2025-08-18,576.44,577.77,575.24,577.11,29831000
QQQ,2025-08-19,576.39,576.56,568.25,569.28,53752635
QQQ,2025-08-20,568.33,568.45,558.84,565.9,76781100
QQQ,2025-08-21,564.35,566.49,560.98,563.28,46436900
QQQ,2025-08-22,564.67,573.99,563.27,571.97,51502129
QQQ,2025-08-25,570.4,573.29,569.16,570.32,34044749
QQQ,2025-08-26,569.83,572.92,568.8,572.61,34103014
QQQ,2025-08-27,571.59,574.41,570.37,573.49,36927144
QQQ,2025-08-28,574.11,578.0,572.46,577.08,46787900
QQQ,2025-08-29,574.66,575.03,568.54,570.4,56030409
QQQ,2025-09-02,561.31,565.97,559.54,565.62,65876800
QQQ,2025-09-03,569.23,571.7,566.73,570.07,54230213
QQQ,2025-09-04,570.74,575.6,569.03,575.23,47526300
QQQ,2025-09-05,580.49,581.12,571.53,576.06,68342532
QQQ,2025-09-08,578.37,580.84,577.77,578.87,46371400
QQQ,2025-09-09,579.67,580.94,577.04,580.51,44007600
QQQ,2025-09-10,583.74,583.77,578.55,580.7,49308000
QQQ,2025-09-11,583.24,584.88,581.62,584.08,44745800
QQQ,2025-09-12,585.04,587.86,584.1,586.66,50745900
QQQ,2025-09-15,588.44,591.79,588.29,591.68,44360315
QQQ,2025-09-16,592.61,592.86,590.49,591.18,36942130
QQQ,2025-09-17,591.1,591.75,584.37,590.0,69384820
QQQ,2025-09-18,594.91,598.14,592.96,595.32,61069300
QQQ,2025-09-19,597.33,600.05,595.85,599.35,58196109
QQQ,2025-09-22,597.74,602.87,597.72,602.2,57154800
QQQ,2025-09-23,602.37,602.57,596.98,598.2,64635500
QQQ,2025-09-24,599.58,599.9,593.36,596.1,49850301
QQQ,2025-09-25,592.2,595.12,588.5,593.53,70920209
QQQ,2025-09-26,594.35,596.3,591.06,595.97,54337416
QQQ,2025-09-29,599.11,602.05,597.41,598.73,48332934
QQQ,2025-09-30,598.43,600.71,596.1,600.37,46533814
QQQ,2025-10-01,597.17,603.79,596.34,603.25,46899612
QQQ,2025-10-02,607.06,607.16,602.93,605.73,43765410
QQQ,2025-10-03,606.51,607.33,601.39,603.18,46482100
QQQ,2025-10-06,608.45,609.36,605.97,607.71,41962115
QQQ,2025-10-07,609.02,609.71,603.03,604.51,58209500
QQQ,2025-10-08,605.41,611.75,605.26,611.44,50629800
QQQ,2025-10-09,611.48,611.61,607.48,610.7,45551000
QQQ,2025-10-10,611.4,613.18,589.05,589.5,97614800
QQQ,2025-10-13,599.68,602.95,597.23,602.01,65872600
QQQ,2025-10-14,595.31,602.69,590.13,598.0,69203200
QQQ,2025-10-15,604.01,606.7,595.93,602.22,62805500
QQQ,2025-10-16,605.11,608.31,595.5,599.99,70982000
QQQ,2025-10-17,597.95,605.51,596.37,603.93,72024900
QQQ,2025-10-20,607.14,612.8,607.07,611.54,45761700
QQQ,2025-10-21,611.64,612.72,609.32,611.38,44538200
QQQ,2025-10-22,610.82,611.41,599.74,605.49,61478802
QQQ,2025-10-23,604.91,611.37,604.52,610.58,42844300
QQQ,2025-10-24,615.99,618.42,615.13,617.1,47632500
QQQ,2025-10-27,624.52,628.55,624.03,628.09,54098611
QQQ,2025-10-28,630.36,634.68,629.25,632.92,61195733
QQQ,2025-10-29,635.59,637.01,630.25,635.77,67422806
QQQ,2025-10-30,632.17,633.5,625.94,626.05,61628621
